SYMBOL,MKTCAP,SECTOR,INDUSTRY
AHGP,$2B (Small),Energy,"Oil, Gas & Consumable Fuels"
ARLP,$2B (Small),Energy,"Oil, Gas & Consumable Fuels"
AB,$2B (Small),Financials,Capital Markets
LNT,$8B (Mid),Utilities,Electric Utilities
AZSEY,$72B (Large),Financials,Insurance
AWH,$4B (Mid),Financials,Insurance
ALSN,$6B (Mid),Industrials,Machinery
MDRX,$2B (Small),Health Care,Health Care Technology
ALL,$26B (Large),Financials,Insurance
ALLY,$9B (Mid),Financials,Consumer Finance
ALNY,$4B (Small),Health Care,Biotechnology
GOOGL,$263B (Large),Information Technology,Internet Software & Services
ALSE,$2B (Small),Health Care,Biotechnology
MO,$125B (Large),Consumer Staples,Tobacco
ACH,$2B (Small),Materials,Metals & Mining
AMAG,$1B (Small),Health Care,Biotechnology
AMZN,$352B (Large),Consumer Discretionary,Internet & Direct Marketing Retail
AMBC,$1B (Small),Financials,Insurance
AMBA,$2B (Small),Information Technology,Semiconductors & Semiconductor Equipment
AMC,$3B (Small),Consumer Discretionary,Media
AMCX,$4B (Small),Consumer Discretionary,Media
AMCRY,$12B (Mid),Materials,Containers & Packaging
DOX,$9B (Mid),Information Technology,IT Services
AMED,$1B (Small),Health Care,Health Care Providers & Services
UHAL,$7B (Mid),Industrials,Road & Rail
AEE,$12B (Mid),Utilities,Multi-Utilities
AMX,$26B (Large),Telecommunication Services,Wireless Telecommunication Services
AAL,$24B (Large),Industrials,Airlines
AAT,$2B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
AXL,$1B (Small),Consumer Discretionary,Auto Components
ACC,$6B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
AEO,$3B (Small),Consumer Discretionary,Specialty Retail
AEP,$29B (Large),Utilities,Electric Utilities
AEL,$2B (Small),Financials,Insurance
AXP,$66B (Large),Financials,Consumer Finance
AFG,$7B (Mid),Financials,Insurance
AMH,$5B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
AIG,$65B (Large),Financials,Insurance
ANAT,$3B (Small),Financials,Insurance
AOREF,$2B (Small),Financials,Insurance
AWR,$2B (Small),Utilities,Water Utilities
AMT,$44B (Large),Real Estate,Equity Real Estate Investment Trusts (REITs)
AWK,$13B (Mid),Utilities,Water Utilities
AMWD,$1B (Small),Industrials,Building Products
APU,$4B (Mid),Utilities,Gas Utilities
AMP,$18B (Mid),Financials,Capital Markets
ABCB,$2B (Small),Financials,Banks
AMSF,$1B (Small),Financials,Insurance
ABC,$17B (Mid),Health Care,Health Care Providers & Services
AME,$11B (Mid),Industrials,Electrical Equipment
AMGN,$107B (Large),Health Care,Biotechnology
AMKR,$3B (Small),Information Technology,Semiconductors & Semiconductor Equipment
AMN,$2B (Small),Health Care,Health Care Providers & Services
APH,$21B (Large),Information Technology,"Electronic Equipment, Instruments & Components"
AFSI,$4B (Mid),Financials,Insurance
APC,$38B (Large),Energy,"Oil, Gas & Consumable Fuels"
ADI,$22B (Large),Information Technology,Semiconductors & Semiconductor Equipment
ALOG,$1B (Small),Health Care,Health Care Equipment & Supplies
ANDE,$1B (Small),Consumer Staples,Food & Staples Retailing
NGLOY,$22B (Large),Materials,Metals & Mining
AU,$5B (Mid),Materials,Metals & Mining
BUD,$172B (Large),Consumer Staples,Beverages
AXE,$3B (Small),Information Technology,"Electronic Equipment, Instruments & Components"
NLY,$10B (Mid),Financials,Mortgage Real Estate Investment Trusts (REITs)
ANSS,$8B (Mid),Information Technology,Software
AM,$5B (Mid),Energy,"Oil, Gas & Consumable Fuels"
AR,$8B (Mid),Energy,"Oil, Gas & Consumable Fuels"
ANTM,$38B (Large),Health Care,Health Care Providers & Services
AON,$29B (Large),Financials,Insurance
APA,$25B (Large),Energy,"Oil, Gas & Consumable Fuels"
AIV,$7B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
APOG,$1B (Small),Industrials,Building Products
ARI,$1B (Small),Financials,Mortgage Real Estate Investment Trusts (REITs)
APO,$4B (Small),Financials,Capital Markets
APLE,$4B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
AAPL,$586B (Large),Information Technology,"Technology Hardware, Storage & Peripherals"
AIT,$2B (Small),Industrials,Trading Companies & Distributors
AMAT,$34B (Large),Information Technology,Semiconductors & Semiconductor Equipment
ATR,$5B (Mid),Materials,Containers & Packaging
WTR,$5B (Mid),Utilities,Water Utilities
ARMK,$9B (Mid),Consumer Discretionary,"Hotels, Restaurants & Leisure"
ARCAY,$1B (Small),Industrials,Construction & Engineering
MT,$17B (Mid),Materials,Metals & Mining
ACGL,$10B (Mid),Financials,Insurance
ARCH,$2B (Small),Energy,"Oil, Gas & Consumable Fuels"
ADM,$25B (Large),Consumer Staples,Food Products
ARNC,$9B (Mid),Industrials,Aerospace & Defense
ARCO,$1B (Small),Consumer Discretionary,"Hotels, Restaurants & Leisure"
ARES,$4B (Small),Financials,Capital Markets
AGII,$2B (Small),Financials,Insurance
ARIA,$3B (Small),Health Care,Biotechnology
ANET,$7B (Mid),Information Technology,Communications Equipment
AWI,$2B (Small),Industrials,Building Products
ARRY,$1B (Small),Health Care,Biotechnology
ARRS,$5B (Mid),Information Technology,Communications Equipment
ARW,$6B (Mid),Information Technology,"Electronic Equipment, Instruments & Components"
AJG,$9B (Mid),Financials,Insurance
APAM,$2B (Small),Financials,Capital Markets
ABG,$1B (Small),Consumer Discretionary,Specialty Retail
ASNA,$1B (Small),Consumer Discretionary,Specialty Retail
ASH,$7B (Mid),Materials,Chemicals
AEEX,$2B (Small),Financials,Capital Markets
ASMIY,$3B (Small),Information Technology,Semiconductors & Semiconductor Equipment
ASML,$42B (Large),Information Technology,Semiconductors & Semiconductor Equipment
AHL,$3B (Small),Financials,Insurance
AZPN,$4B (Mid),Information Technology,Software
ASB,$3B (Small),Financials,Banks
AIZ,$5B (Mid),Financials,Insurance
AGO,$5B (Mid),Financials,Insurance
ASTE,$2B (Small),Industrials,Machinery
AF,$2B (Small),Financials,Thrifts & Mortgage Finance
AZN,$66B (Large),Health Care,Pharmaceuticals
T,$237B (Large),Telecommunication Services,Diversified Telecommunication Services
ATHN,$4B (Small),Health Care,Health Care Technology
ATKR,$1B (Small),Industrials,Electrical Equipment
ABY,$2B (Small),Utilities,Independent Power and Renewable Electricity Producers
AAWW,$1B (Small),Industrials,Air Freight & Logistics
TEAM,$6B (Mid),Information Technology,Software
ATO,$7B (Mid),Utilities,Gas Utilities
ATNI,$1B (Small),Telecommunication Services,Diversified Telecommunication Services
AUO,$3B (Small),Information Technology,"Electronic Equipment, Instruments & Components"
ANZBY,$61B (Large),Financials,Banks
ADSK,$16B (Mid),Information Technology,Software
ATHM,$3B (Small),Information Technology,Internet Software & Services
ALV,$9B (Mid),Consumer Discretionary,Auto Components
ADP,$43B (Large),Information Technology,IT Services
AN,$5B (Mid),Consumer Discretionary,Specialty Retail
AZO,$23B (Large),Consumer Discretionary,Specialty Retail
AVB,$23B (Large),Real Estate,Equity Real Estate Investment Trusts (REITs)
AGR,$11B (Mid),Utilities,Electric Utilities
AVY,$6B (Mid),Materials,Containers & Packaging
AVXS,$2B (Small),Health Care,Biotechnology
CAR,$3B (Small),Industrials,Road & Rail
AVA,$3B (Small),Utilities,Multi-Utilities
AVT,$6B (Mid),Information Technology,"Electronic Equipment, Instruments & Components"
AVP,$2B (Small),Consumer Staples,Personal Products
AVX,$3B (Small),Information Technology,"Electronic Equipment, Instruments & Components"
AXAHY,$57B (Large),Financials,Insurance
AXTA,$6B (Mid),Materials,Chemicals
AXS,$5B (Mid),Financials,Insurance
AXON,$1B (Small),Health Care,Biotechnology
AZZ,$2B (Small),Industrials,Electrical Equipment
BGS,$3B (Small),Consumer Staples,Food Products
BEAV,$6B (Mid),Industrials,Aerospace & Defense
BIDU,$56B (Large),Information Technology,Internet Software & Services
BHI,$28B (Large),Energy,Energy Equipment & Services
BCPC,$3B (Small),Materials,Chemicals
BLL,$13B (Mid),Materials,Containers & Packaging
BANF,$1B (Small),Financials,Banks
BBVA,$40B (Large),Financials,Banks
BBD,$23B (Large),Financials,Banks
BCH,$11B (Mid),Financials,Banks
BLX,$1B (Small),Financials,Banks
BMA,$4B (Mid),Financials,Banks
BSBR,$25B (Large),Financials,Banks
SAN,$66B (Large),Financials,Banks
BSAC,$10B (Mid),Financials,Banks
CIB,$4B (Mid),Financials,Banks
BXS,$3B (Small),Financials,Banks
BAC,$215B (Large),Financials,Banks
BKEAY,$11B (Mid),Financials,Banks
BOH,$4B (Small),Financials,Banks
BMO,$43B (Large),Financials,Banks
NTB,$2B (Small),Financials,Banks
BK,$50B (Large),Financials,Capital Markets
BNS,$68B (Large),Financials,Banks
OZRK,$6B (Mid),Financials,Banks
BKU,$4B (Small),Financials,Banks
BANR,$2B (Small),Financials,Banks
BCS,$45B (Large),Financials,Banks
B,$3B (Small),Industrials,Machinery
CUDA,$1B (Small),Information Technology,Software
ABX,$18B (Mid),Materials,Metals & Mining
BASFY,$79B (Large),Materials,Chemicals
BATS,$3B (Small),Financials,Capital Markets
BAX,$24B (Large),Health Care,Health Care Equipment & Supplies
BAYRY,$77B (Large),Health Care,Pharmaceuticals
BBT,$37B (Large),Financials,Banks
BFR,$3B (Small),Financials,Banks
BCE,$38B (Large),Telecommunication Services,Diversified Telecommunication Services
BESIY,$1B (Small),Information Technology,Semiconductors & Semiconductor Equipment
BECN,$3B (Small),Industrials,Trading Companies & Distributors
BDX,$35B (Large),Health Care,Health Care Equipment & Supplies
BBBY,$7B (Mid),Consumer Discretionary,Specialty Retail
BGNE,$1B (Small),Health Care,Biotechnology
BDC,$3B (Small),Information Technology,"Electronic Equipment, Instruments & Components"
BEL,$2B (Small),Consumer Discretionary,"Hotels, Restaurants & Leisure"
BMS,$5B (Mid),Materials,Containers & Packaging
BHE,$1B (Small),Information Technology,"Electronic Equipment, Instruments & Components"
BNCL,$1B (Small),Financials,Thrifts & Mortgage Finance
BERY,$6B (Mid),Materials,Containers & Packaging
BBY,$14B (Mid),Consumer Discretionary,Specialty Retail
BGCP,$3B (Small),Financials,Capital Markets
BHP,$61B (Large),Materials,Metals & Mining
BBL,$35B (Large),Materials,Metals & Mining
BIG,$2B (Small),Consumer Discretionary,Multiline Retail
BIO,$4B (Mid),Health Care,Life Sciences Tools & Services
TECH,$4B (Mid),Health Care,Life Sciences Tools & Services
BIIB,$65B (Large),Health Care,Biotechnology
BMRN,$14B (Mid),Health Care,Biotechnology
BITA,$1B (Small),Information Technology,Internet Software & Services
BKH,$3B (Small),Utilities,Multi-Utilities
BKFS,$6B (Mid),Information Technology,IT Services
BSM,$4B (Small),Energy,"Oil, Gas & Consumable Fuels"
BLKB,$3B (Small),Information Technology,Software
BBRY,$4B (Mid),Information Technology,"Technology Hardware, Storage & Peripherals"
HAWK,$2B (Small),Information Technology,IT Services
BL,$1B (Small),Information Technology,Software
BLK,$60B (Large),Financials,Capital Markets
BX,$31B (Large),Financials,Capital Markets
BXMT,$3B (Small),Financials,Mortgage Real Estate Investment Trusts (REITs)
BLMN,$2B (Small),Consumer Discretionary,"Hotels, Restaurants & Leisure"
BUFF,$5B (Mid),Consumer Staples,Food Products
BLUE,$3B (Small),Health Care,Biotechnology
BMCH,$1B (Small),Industrials,Trading Companies & Distributors
BNCN,$2B (Small),Financials,Banks
BWP,$4B (Mid),Energy,"Oil, Gas & Consumable Fuels"
BA,$94B (Large),Industrials,Aerospace & Defense
BOFI,$2B (Small),Financials,Thrifts & Mortgage Finance
BOKF,$5B (Mid),Financials,Banks
BAH,$6B (Mid),Information Technology,IT Services
BWA,$8B (Mid),Consumer Discretionary,Auto Components
SAM,$2B (Small),Consumer Staples,Beverages
BPFH,$1B (Small),Financials,Banks
BXP,$19B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
BSX,$28B (Large),Health Care,Health Care Equipment & Supplies
BOX,$2B (Small),Information Technology,Internet Software & Services
BYD,$2B (Small),Consumer Discretionary,"Hotels, Restaurants & Leisure"
BP,$112B (Large),Energy,"Oil, Gas & Consumable Fuels"
BRC,$2B (Small),Industrials,Commercial Services & Supplies
BDN,$3B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
BAK,$3B (Small),Materials,Chemicals
BRFS,$11B (Mid),Consumer Staples,Food Products
BRDCY,$29B (Large),Consumer Discretionary,Auto Components
BFAM,$4B (Mid),Consumer Discretionary,Diversified Consumer Services
EAT,$3B (Small),Consumer Discretionary,"Hotels, Restaurants & Leisure"
BCO,$2B (Small),Industrials,Commercial Services & Supplies
BMY,$94B (Large),Health Care,Pharmaceuticals
BTI,$103B (Large),Consumer Staples,Tobacco
BRX,$7B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
AVGO,$65B (Large),Information Technology,Semiconductors & Semiconductor Equipment
BR,$8B (Mid),Information Technology,IT Services
BSFT,$1B (Small),Information Technology,Software
BRCD,$5B (Mid),Information Technology,Communications Equipment
BKD,$2B (Small),Health Care,Health Care Providers & Services
BAM,$32B (Large),Financials,Capital Markets
BIP,$8B (Mid),Utilities,Electric Utilities
BPY,$5B (Mid),Real Estate,Real Estate Management & Development
BRO,$6B (Mid),Financials,Insurance
BRKR,$4B (Small),Health Care,Life Sciences Tools & Services
BC,$5B (Mid),Consumer Discretionary,Leisure Products
BT,$46B (Large),Telecommunication Services,Diversified Telecommunication Services
BPL,$9B (Mid),Energy,"Oil, Gas & Consumable Fuels"
BKE,$1B (Small),Consumer Discretionary,Specialty Retail
BWLD,$3B (Small),Consumer Discretionary,"Hotels, Restaurants & Leisure"
BLDR,$1B (Small),Industrials,Building Products
BG,$10B (Mid),Consumer Staples,Food Products
BZLFY,$9B (Mid),Industrials,Trading Companies & Distributors
BURL,$6B (Mid),Consumer Discretionary,Specialty Retail
BWXT,$4B (Mid),Industrials,Aerospace & Defense
BCR,$15B (Mid),Health Care,Health Care Equipment & Supplies
CHRW,$10B (Mid),Industrials,Air Freight & Logistics
CA,$13B (Mid),Information Technology,Software
CAB,$4B (Mid),Consumer Discretionary,Specialty Retail
CABO,$3B (Small),Consumer Discretionary,Media
CBT,$3B (Small),Materials,Chemicals
CCMP,$1B (Small),Information Technology,Semiconductors & Semiconductor Equipment
COG,$11B (Mid),Energy,"Oil, Gas & Consumable Fuels"
CACI,$3B (Small),Information Technology,IT Services
CDNS,$7B (Mid),Information Technology,Software
CAE,$4B (Mid),Industrials,Aerospace & Defense
CACQ,$2B (Small),Consumer Discretionary,"Hotels, Restaurants & Leisure"
CZR,$1B (Small),Consumer Discretionary,"Hotels, Restaurants & Leisure"
CALM,$2B (Small),Consumer Staples,Food Products
CAA,$4B (Small),Consumer Discretionary,Household Durables
CAL,$1B (Small),Consumer Discretionary,Specialty Retail
CWT,$2B (Small),Utilities,Water Utilities
ELY,$1B (Small),Consumer Discretionary,Leisure Products
CPE,$3B (Small),Energy,"Oil, Gas & Consumable Fuels"
CPN,$4B (Small),Utilities,Independent Power and Renewable Electricity Producers
CBM,$2B (Small),Health Care,Life Sciences Tools & Services
CPT,$7B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
CCJ,$4B (Small),Energy,"Oil, Gas & Consumable Fuels"
CPB,$18B (Mid),Consumer Staples,Food Products
CWH,$2B (Small),Consumer Discretionary,Specialty Retail
CM,$32B (Large),Financials,Banks
CNI,$52B (Large),Industrials,Road & Rail
CNQ,$38B (Large),Energy,"Oil, Gas & Consumable Fuels"
CP,$22B (Large),Industrials,Road & Rail
CAJ,$32B (Large),Information Technology,"Technology Hardware, Storage & Peripherals"
CMN,$3B (Small),Health Care,Health Care Equipment & Supplies
CBF,$2B (Small),Financials,Banks
COF,$41B (Large),Financials,Consumer Finance
CFFN,$2B (Small),Financials,Thrifts & Mortgage Finance
CAH,$23B (Large),Health Care,Health Care Providers & Services
CATM,$2B (Small),Information Technology,IT Services
CCP,$2B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
CSL,$7B (Mid),Industrials,Industrial Conglomerates
CG,$5B (Mid),Financials,Capital Markets
KMX,$11B (Mid),Consumer Discretionary,Specialty Retail
CCL,$27B (Large),Consumer Discretionary,"Hotels, Restaurants & Leisure"
CUK,$10B (Mid),Consumer Discretionary,"Hotels, Restaurants & Leisure"
CRS,$2B (Small),Materials,Metals & Mining
CRZO,$3B (Small),Energy,"Oil, Gas & Consumable Fuels"
CRI,$5B (Mid),Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
CASY,$5B (Mid),Consumer Staples,Food & Staples Retailing
CTLT,$3B (Small),Health Care,Pharmaceuticals
CAT,$56B (Large),Industrials,Machinery
CATY,$3B (Small),Financials,Banks
CAVM,$4B (Small),Information Technology,Semiconductors & Semiconductor Equipment
CBL,$2B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
CBOE,$6B (Mid),Financials,Capital Markets
CBG,$10B (Mid),Real Estate,Real Estate Management & Development
CBS,$26B (Large),Consumer Discretionary,Media
CDK,$9B (Mid),Information Technology,Software
CDW,$8B (Mid),Information Technology,"Electronic Equipment, Instruments & Components"
CEB,$2B (Small),Industrials,Professional Services
FUN,$3B (Small),Consumer Discretionary,"Hotels, Restaurants & Leisure"
CE,$11B (Mid),Materials,Chemicals
CLS,$1B (Small),Information Technology,"Electronic Equipment, Instruments & Components"
CELG,$91B (Large),Health Care,Biotechnology
CX,$11B (Mid),Materials,Construction Materials
CVE,$13B (Mid),Energy,"Oil, Gas & Consumable Fuels"
CNC,$10B (Mid),Health Care,Health Care Providers & Services
CDEV,$3B (Small),Energy,"Oil, Gas & Consumable Fuels"
CNP,$10B (Mid),Utilities,Multi-Utilities
CSFL,$1B (Small),Financials,Banks
CTL,$13B (Mid),Telecommunication Services,Diversified Telecommunication Services
CERN,$16B (Mid),Health Care,Health Care Technology
CF,$7B (Mid),Materials,Chemicals
GIB,$13B (Mid),Information Technology,IT Services
CYOU,$1B (Small),Information Technology,Software
CRL,$3B (Small),Health Care,Life Sciences Tools & Services
SCHW,$51B (Large),Financials,Capital Markets
GTLS,$1B (Small),Industrials,Machinery
CHTR,$72B (Large),Consumer Discretionary,Media
CHKP,$14B (Mid),Information Technology,Software
CAKE,$3B (Small),Consumer Discretionary,"Hotels, Restaurants & Leisure"
CMCM,$1B (Small),Information Technology,Software
CHE,$2B (Small),Health Care,Health Care Providers & Services
CHFC,$4B (Small),Financials,Banks
CC,$5B (Mid),Materials,Chemicals
CHMT,$2B (Small),Materials,Chemicals
LNG,$10B (Mid),Energy,"Oil, Gas & Consumable Fuels"
CQP,$10B (Mid),Energy,"Oil, Gas & Consumable Fuels"
CQH,$5B (Mid),Energy,"Oil, Gas & Consumable Fuels"
CHK,$6B (Mid),Energy,"Oil, Gas & Consumable Fuels"
CHSP,$1B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
CVX,$213B (Large),Energy,"Oil, Gas & Consumable Fuels"
CBI,$3B (Small),Industrials,Construction & Engineering
CHS,$2B (Small),Consumer Discretionary,Specialty Retail
PLCE,$2B (Small),Consumer Discretionary,Specialty Retail
CIM,$3B (Small),Financials,Mortgage Real Estate Investment Trusts (REITs)
CBPO,$3B (Small),Health Care,Biotechnology
CEA,$2B (Small),Industrials,Airlines
LFC,$21B (Large),Financials,Insurance
HTHT,$4B (Small),Consumer Discretionary,"Hotels, Restaurants & Leisure"
CHL,$225B (Large),Telecommunication Services,Wireless Telecommunication Services
SNP,$18B (Mid),Energy,"Oil, Gas & Consumable Fuels"
ZNH,$2B (Small),Industrials,Airlines
CHA,$7B (Mid),Telecommunication Services,Diversified Telecommunication Services
CHU,$29B (Large),Telecommunication Services,Diversified Telecommunication Services
CMG,$12B (Mid),Consumer Discretionary,"Hotels, Restaurants & Leisure"
CHH,$3B (Small),Consumer Discretionary,"Hotels, Restaurants & Leisure"
CB,$59B (Large),Financials,Insurance
CHT,$26B (Large),Telecommunication Services,Diversified Telecommunication Services
CHD,$11B (Mid),Consumer Staples,Household Products
CHDN,$3B (Small),Consumer Discretionary,"Hotels, Restaurants & Leisure"
CIEN,$3B (Small),Information Technology,Communications Equipment
CI,$34B (Large),Health Care,Health Care Providers & Services
CMCT,$1B (Small),Financials,Mortgage Real Estate Investment Trusts (REITs)
XEC,$13B (Mid),Energy,"Oil, Gas & Consumable Fuels"
CMPR,$3B (Small),Information Technology,Internet Software & Services
CINF,$13B (Mid),Financials,Insurance
CNK,$4B (Mid),Consumer Discretionary,Media
CTAS,$12B (Mid),Industrials,Commercial Services & Supplies
CRUS,$3B (Small),Information Technology,Semiconductors & Semiconductor Equipment
CSCO,$147B (Large),Information Technology,Communications Equipment
CIT,$8B (Mid),Financials,Banks
C,$160B (Large),Financials,Banks
CFG,$17B (Mid),Financials,Banks
CTXS,$13B (Mid),Information Technology,Software
CDEVY,$5B (Mid),Real Estate,Real Estate Management & Development
CLC,$4B (Mid),Industrials,Machinery
CWEI,$2B (Small),Energy,"Oil, Gas & Consumable Fuels"
CLH,$3B (Small),Industrials,Commercial Services & Supplies
CCO,$2B (Small),Consumer Discretionary,Media
CLF,$2B (Small),Materials,Metals & Mining
CLX,$15B (Mid),Consumer Staples,Household Products
CLVS,$1B (Small),Health Care,Biotechnology
CLPHY,$24B (Large),Utilities,Electric Utilities
CME,$39B (Large),Financials,Capital Markets
CMS,$11B (Mid),Utilities,Multi-Utilities
CNA,$10B (Mid),Financials,Insurance
CNHI,$12B (Mid),Industrials,Machinery
CNO,$3B (Small),Financials,Insurance
CEO,$60B (Large),Energy,"Oil, Gas & Consumable Fuels"
CNV,$2B (Small),Consumer Discretionary,Internet & Direct Marketing Retail
COH,$10B (Mid),Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
COKE,$1B (Small),Consumer Staples,Beverages
KO,$174B (Large),Consumer Staples,Beverages
CCE,$15B (Mid),Consumer Staples,Beverages
KOF,$3B (Small),Consumer Staples,Beverages
CDE,$2B (Small),Materials,Metals & Mining
CCOI,$2B (Small),Telecommunication Services,Diversified Telecommunication Services
CGNX,$5B (Mid),Information Technology,"Electronic Equipment, Instruments & Components"
CTSH,$33B (Large),Information Technology,IT Services
CNS,$2B (Small),Financials,Capital Markets
COHR,$3B (Small),Information Technology,"Electronic Equipment, Instruments & Components"
CHRS,$1B (Small),Health Care,Biotechnology
CFX,$5B (Mid),Industrials,Machinery
CL,$58B (Large),Consumer Staples,Household Products
CIGI,$1B (Small),Real Estate,Real Estate Management & Development
CLNY,$2B (Small),Financials,Mortgage Real Estate Investment Trusts (REITs)
SFR,$3B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
COLB,$2B (Small),Financials,Banks
CPPL,$2B (Small),Energy,"Oil, Gas & Consumable Fuels"
CXP,$3B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
COLM,$4B (Mid),Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
CMCSA,$165B (Large),Consumer Discretionary,Media
CMA,$11B (Mid),Financials,Banks
FIX,$1B (Small),Industrials,Construction & Engineering
CBSH,$6B (Mid),Financials,Banks
